iter	Passed	Remaining
413	2896	4100
414	2903	4092
415	2909	4084
416	2915	4076
417	2922	4068
418	2928	4060
419	2935	4053
420	2941	4045
421	2947	4037
422	2953	4029
423	2959	4021
424	2966	4013
425	2973	4006
426	2979	3998
427	2986	3990
428	2992	3982
429	2999	3975
430	3005	3967
431	3011	3959
432	3018	3952
433	3024	3944
434	3031	3937
435	3037	3929
436	3044	3922
437	3051	3914
438	3057	3907
439	3064	3900
440	3070	3892
441	3076	3883
442	3083	3876
443	3089	3868
444	3095	3860
445	3102	3853
446	3109	3846
447	3115	3839
448	3121	3831
449	3128	3823
450	3134	3816
451	3141	3808
452	3148	3801
453	3154	3793
454	3161	3786
455	3167	3779
456	3173	3770
457	3180	3763
458	3186	3756
459	3193	3748
460	3199	3741
461	3205	3733
462	3213	3726
463	3219	3719
464	3225	3711
465	3232	3703
466	3238	3695
467	3244	3688
468	3251	3680
469	3258	3674
470	3264	3666
471	3271	3659
472	3277	3651
473	3283	3644
474	3290	3636
475	3296	3629
476	3303	3621
477	3309	3614
478	3316	3607
479	3323	3600
480	3329	3592
481	3335	3584
482	3342	3577
483	3348	3569
484	3355	3562
485	3361	3555
486	3368	3548
487	3375	3541
488	3381	3533
489	3387	3526
490	3393	3518
491	3400	3510
492	3406	3503
493	3413	3495
494	3419	3488
495	3426	3481
496	3432	3474
497	3439	3466
498	3445	3459
499	3451	3451
500	3458	3445
501	3465	3437
502	3471	3430
503	3477	3422
504	3484	3415
505	3490	3407
506	3496	3399
507	3503	3392
508	3509	3385
509	3516	3378
510	3522	3370
511	3529	3363
512	3536	3356
513	3542	3349
514	3548	3342
515	3555	3334
516	3561	3327
517	3568	3320
518	3574	3313
519	3581	3305
520	3587	3298
521	3593	3290
522	3600	3283
523	3606	3276
524	3613	3269
525	3619	3261
526	3626	3254
527	3633	3247
528	3639	3240
529	3646	3233
530	3653	3226
531	3659	3219
532	3666	3212
533	3672	3204
534	3678	3197
535	3684	3189
536	3691	3182
537	3697	3175
538	3704	3168
539	3710	3160
540	3716	3153
541	3722	3145
542	3729	3139
543	3735	3131
544	3742	3124
545	3749	3117
546	3755	3110
547	3762	3103
548	3768	3096
549	3775	3088
550	3781	3081
551	3787	3074
552	3794	3067
553	3800	3059
554	3807	3052
555	3814	3045
556	3821	3039
557	3828	3032
558	3834	3024
559	3840	3017
560	3847	3010
561	3854	3003
562	3860	2996
563	3867	2989
564	3873	2982
565	3880	2975
566	3886	2967
567	3892	2960
568	3899	2953
569	3906	2946
570	3912	2939
571	3918	2931
572	3925	2925
573	3931	2917
574	3937	2910
575	3943	2903
576	3950	2895
577	3957	2889
578	3964	2882
579	3970	2875
580	3976	2868
581	3983	2860
582	3989	2853
583	3996	2846
584	4002	2839
585	4008	2832
586	4015	2825
587	4022	2818
588	4029	2811
589	4036	2805
590	4043	2798
591	4049	2791
592	4056	2784
593	4063	2777
594	4069	2770
595	4076	2763
596	4082	2756
597	4089	2749
598	4095	2741
599	4102	2735
600	4109	2728
601	4115	2721
602	4122	2713
603	4128	2706
604	4135	2699
605	4141	2692
606	4148	2685
607	4154	2678
608	4160	2671
609	4167	2664
610	4174	2657
611	4180	2650
612	4187	2643
613	4193	2636
614	4200	2629
615	4206	2622
616	4213	2615
617	4219	2608
618	4226	2601
619	4232	2594
620	4239	2587
621	4245	2580
622	4252	2573
623	4258	2565
624	4264	2558
625	4271	2551
626	4278	2545
627	4285	2538
628	4292	2531
629	4298	2524
630	4305	2517
631	4311	2510
632	4318	2503
633	4324	2496
634	4331	2489
635	4337	2482
636	4344	2476
637	4351	2468
638	4359	2462
639	4366	2456
640	4373	2449
641	4381	2442
642	4387	2435
643	4394	2429
644	4400	2422
645	4407	2415
646	4413	2408
647	4420	2401
648	4427	2394
649	4433	2387
650	4440	2380
651	4446	2373
652	4452	2366
653	4458	2358
654	4464	2351
655	4471	2344
656	4478	2337
657	4485	2331
658	4492	2324
659	4498	2317
660	4506	2311
661	4513	2304
662	4521	2298
663	4527	2291
664	4534	2284
665	4540	2277
666	4546	2269
667	4553	2263
668	4559	2255
669	4565	2248
670	4572	2241
671	4578	2234
672	4585	2227
673	4592	2221
674	4598	2214
675	4605	2207
676	4611	2200
677	4618	2193
678	4624	2186
679	4631	2179
680	4637	2172
681	4643	2165
682	4650	2158
683	4655	2150
684	4662	2143
685	4668	2136
686	4674	2129
687	4681	2122
688	4687	2115
689	4694	2109
690	4701	2102
691	4707	2095
692	4714	2088
693	4720	2081
694	4727	2074
695	4734	2067
696	4740	2060
697	4747	2054
698	4753	2047
699	4759	2039
700	4766	2032
701	4772	2025
702	4779	2019
703	4785	2012
704	4792	2005
705	4798	1998
706	4805	1991
707	4812	1984
708	4819	1977
709	4825	1970
710	4831	1964
711	4838	1957
712	4844	1950
713	4850	1943
714	4857	1936
715	4863	1929
716	4869	1922
717	4876	1915
718	4883	1908
719	4889	1901
720	4896	1894
721	4902	1887
722	4909	1881
723	4916	1874
724	4923	1867
725	4929	1860
726	4936	1853
727	4942	1846
728	4948	1839
729	4955	1832
730	4961	1825
731	4968	1819
732	4975	1812
733	4982	1805
734	4989	1798
735	4995	1791
736	5001	1784
737	5008	1777
738	5014	1770
739	5021	1764
740	5027	1757
741	5033	1750
742	5040	1743
743	5047	1736
744	5053	1729
745	5059	1722
746	5066	1715
747	5072	1709
748	5079	1702
749	5085	1695
750	5092	1688
751	5098	1681
752	5105	1674
753	5111	1667
754	5118	1661
755	5125	1654
756	5131	1647
757	5138	1640
758	5144	1633
759	5151	1626
760	5157	1619
761	5163	1612
762	5170	1606
763	5176	1599
764	5183	1592
765	5189	1585
766	5196	1578
767	5203	1571
768	5209	1564
769	5216	1558
770	5222	1551
771	5229	1544
772	5235	1537
773	5242	1530
774	5249	1523
775	5255	1517
776	5262	1510
777	5268	1503
778	5275	1496
779	5281	1489
780	5287	1482
781	5295	1476
782	5302	1469
783	5309	1462
784	5317	1456
785	5323	1449
786	5329	1442
787	5336	1435
788	5343	1428
789	5350	1422
790	5356	1415
791	5362	1408
792	5369	1401
793	5376	1394
794	5382	1387
795	5388	1380
796	5395	1374
797	5401	1367
798	5407	1360
799	5414	1353
800	5420	1346
801	5427	1339
802	5433	1333
803	5439	1326
804	5447	1319
805	5453	1312
806	5459	1305
807	5466	1298
808	5472	1292
809	5479	1285
810	5485	1278
811	5492	1271
812	5498	1264
813	5505	1258
814	5512	1251
815	5518	1244
816	5525	1237
817	5531	1230
818	5538	1224
819	5544	1217
820	5551	1210
821	5557	1203
822	5564	1196
823	5570	1189
824	5577	1183
825	5583	1176
826	5590	1169
827	5596	1162
828	5603	1155
829	5609	1148
830	5615	1142
831	5622	1135
832	5628	1128
833	5635	1121
834	5641	1114
835	5648	1108
836	5655	1101
837	5661	1094
838	5668	1087
839	5675	1080
840	5681	1074
841	5688	1067
842	5694	1060
843	5701	1053
844	5707	1047
845	5713	1040
846	5720	1033
847	5727	1026
848	5734	1019
849	5740	1013
850	5747	1006
851	5754	999
852	5760	992
853	5768	986
854	5774	979
855	5780	972
856	5787	965
857	5793	958
858	5800	952
859	5807	945
860	5813	938
861	5819	931
862	5826	924
863	5832	918
864	5839	911
865	5847	904
866	5853	897
867	5860	891
868	5866	884
869	5873	877
870	5880	870
871	5887	864
872	5893	857
873	5900	850
874	5906	843
875	5912	836
876	5919	830
877	5926	823
878	5933	816
879	5940	810
880	5946	803
881	5952	796
882	5959	789
883	5965	782
884	5972	776
885	5979	769
886	5985	762
887	5992	755
888	5998	748
889	6004	742
890	6011	735
891	6017	728
892	6024	721
893	6030	715
894	6036	708
895	6042	701
896	6049	694
897	6055	687
898	6061	681
899	6067	674
900	6074	667
901	6080	660
902	6087	653
903	6093	647
904	6099	640
905	6106	633
906	6112	626
907	6118	619
908	6124	613
909	6131	606
910	6138	599
911	6144	592
912	6150	586
913	6157	579
914	6163	572
915	6169	565
916	6175	558
917	6181	552
918	6188	545
919	6194	538
920	6200	531
921	6206	525
922	6212	518
923	6219	511
924	6225	504
925	6232	498
926	6238	491
927	6244	484
928	6251	477
929	6257	471
930	6263	464
931	6270	457
932	6276	450
933	6284	444
934	6290	437
935	6296	430
936	6303	423
937	6309	417
938	6316	410
939	6323	403
940	6329	396
941	6336	390
942	6342	383
943	6349	376
944	6356	369
945	6362	363
946	6368	356
947	6375	349
948	6382	342
949	6388	336
950	6394	329
951	6400	322
952	6407	315
953	6414	309
954	6420	302
955	6426	295
956	6432	289
957	6439	282
958	6446	275
959	6452	268
960	6458	262
961	6465	255
962	6471	248
963	6478	241
964	6484	235
965	6490	228
966	6496	221
967	6502	214
968	6509	208
969	6516	201
970	6522	194
971	6529	188
972	6536	181
973	6543	174
974	6549	167
975	6555	161
976	6562	154
977	6568	147
978	6575	141
979	6582	134
980	6588	127
981	6594	120
982	6600	114
983	6607	107
984	6614	100
985	6620	94
986	6627	87
987	6633	80
988	6639	73
989	6645	67
990	6652	60
991	6659	53
992	6665	46
993	6671	40
994	6678	33
995	6684	26
996	6690	20
997	6696	13
998	6702	6
999	6709	0
