iter	Logloss
0	0.6040899171
1	0.5477482649
2	0.4966989755
3	0.4553770729
4	0.4216300516
5	0.388958678
6	0.3630455902
7	0.3438872595
8	0.3279515007
9	0.3162185759
10	0.3062022191
11	0.2972731503
12	0.2895989521
13	0.2837848806
14	0.2784524985
15	0.2735460941
16	0.2697935947
17	0.2671040183
18	0.2645462627
19	0.2622442496
20	0.2602108945
21	0.2584286589
22	0.2570172625
23	0.2556690983
24	0.2543991013
25	0.2532738296
26	0.2522983653
27	0.2513268563
28	0.2504106712
29	0.2496332053
30	0.2489796118
31	0.2485398425
32	0.2481175841
33	0.2476982252
34	0.2472644575
35	0.2468786231
36	0.2463774573
37	0.2459709559
38	0.2454922984
39	0.2451708309
40	0.2447585983
41	0.244369544
42	0.2439624103
43	0.2436933295
44	0.2434113391
45	0.2431427875
46	0.2428284054
47	0.2426126653
48	0.2424324923
49	0.2422604321
50	0.2420352761
51	0.2418773355
52	0.2416803216
53	0.2415059093
54	0.2413615409
55	0.2412770369
56	0.2411071311
57	0.2408988657
58	0.2407421281
59	0.2405514751
60	0.2404574247
61	0.2403682272
62	0.2402397821
63	0.2401249619
64	0.2400034004
65	0.2398503582
66	0.239735817
67	0.2395759955
68	0.2394344274
69	0.2393550115
70	0.2392102383
71	0.2391383087
72	0.2390585051
73	0.2389538339
74	0.2388805382
75	0.2387953782
76	0.2387162617
77	0.2386597266
78	0.2385866203
79	0.2385126797
80	0.2384506361
81	0.2383296232
82	0.2382136863
83	0.2381144384
84	0.2379729538
85	0.2379000918
86	0.2378078636
87	0.23769738
88	0.2375920529
89	0.2374695333
90	0.2374148626
91	0.2373612386
92	0.2372444831
93	0.2371816831
94	0.2370827318
95	0.2370304524
96	0.236959603
97	0.2368903713
98	0.2368296107
99	0.2367717068
100	0.2366941579
101	0.2366267016
102	0.2365741038
103	0.2364995096
104	0.2364432545
105	0.236398172
106	0.2363646931
107	0.2363151283
108	0.2362476307
109	0.2361739968
110	0.2361150578
111	0.2360665823
112	0.2360311635
113	0.2359719692
114	0.23592332
115	0.2358733417
116	0.2358323883
117	0.2357838887
118	0.2357354147
119	0.2356996195
120	0.2356545579
121	0.2355752068
122	0.2355162098
123	0.2354623473
124	0.2354072899
125	0.2353477656
126	0.2352951742
127	0.2351980857
128	0.2351310703
129	0.2350508271
130	0.2349744461
131	0.2349190238
132	0.2348624465
133	0.234820805
134	0.2347713862
135	0.2347409524
136	0.2347080457
137	0.2346550689
138	0.2345969372
139	0.2345504383
140	0.234468719
141	0.2344291102
142	0.2343733169
143	0.2342830688
144	0.23424065
145	0.2341913833
146	0.2341526189
147	0.2340846418
148	0.2340139033
149	0.233970934
150	0.2339214494
151	0.2338831178
152	0.2338270832
153	0.2337529982
154	0.2336791594
155	0.2336441286
156	0.2335952525
157	0.2335660627
158	0.2335350088
159	0.2334908571
160	0.2334681091
161	0.2333875887
162	0.2333395905
163	0.2332886016
164	0.233240441
165	0.2332077473
166	0.2331691611
167	0.2331181566
168	0.2330808789
169	0.2330502257
170	0.2329912763
171	0.2329266587
172	0.2328848122
173	0.2328264095
